Person,Country,Age,ID_Organisation,ID_Catalog
Diana Anderson,Italy,32,473,398
Yvonne Jackson,Puerto Rico,18,340,212
Oscar Brown,Puerto Rico,79,426,318
Wendy Hall,Netherlands,54,130,460
Wendy Jackson,Israel,76,167,335
Tina Thompson,Japan,29,119,430
Diana White,Belgium,83,427,250
George Prince,France,32,153,81
Mike Wright,South Korea,56,308,372
Zachary Martin,India,51,495,219
Quentin Thomas,Finland,81,110,363
Diana Wright,USA,17,99,439
Laura Rodriguez,Norway,80,365,244
Ethan Harris,Switzerland,39,356,412
Paula White,France,39,252,325
Charlie Lee,Australia,65,157,95
Diana Young,USA,38,121,282
Yvonne Thompson,Spain,82,489,431
Rachel Williams,India,47,223,500
Nina Young,Israel,79,22,194
Ursula Lee,Poland,16,373,376
Victor Walker,Italy,67,340,323
Ian Keller,Brazil,60,212,74
George Lewis,Ukraine,19,89,38
Charlie Prince,Namibia,76,3,352
Alice Williams,France,84,447,72
Fiona Hunt,Germany,61,121,68
Xavier Gallagher,France,85,301,121
Steve Allen,Norway,65,393,26
Quentin Lewis,Argentina,19,150,218
Mike Davis,Arizona,30,428,435
Bob Davis,South Korea,76,443,275
Fiona Anderson,Puerto Rico,61,460,290
Tina Young,China,31,464,250
George Lewis,France,66,215,166
Alice Young,Austria,81,272,323
Xavier Clark,Finland,75,368,220
Yvonne Brown,Netherlands,75,486,471
George Prince,South Africa,18,123,425
Laura Brown,Australia,55,461,446
Kevin Williams,Austria,41,65,380
Oscar Wright,Germany,60,80,433
Ian Davis,South Africa,48,399,393
Ursula Young,Poland,71,460,154
Mike Rodriguez,Belgium,64,240,204
Yvonne Walker,Mexico,68,315,439
Diana Anderson,Spain,80,157,5
Bob Williams,USA,30,109,390
Oscar Anderson,Switzerland,73,262,139
Paula Young,China,18,389,244
Helen Clark,Netherlands,40,491,93
Ethan Jackson,India,44,247,219
Yvonne King,Spain,34,446,108
Xavier Keller,South Africa,58,23,60
Kevin Anderson,Italy,76,253,208
Laura Thompson,Belgium,71,41,22
Wendy Walker,Germany,20,10,455
Laura Lee,Russia,31,272,460
Mike Gallagher,South Africa,79,312,386
Helen Lee,Sweden,42,491,155
Quentin Hall,Russia,52,29,66
Mike Lewis,Denmark,44,45,492
Kevin Allen,Norway,60,347,270
Alice Walker,UK,80,247,190
Paula King,Ukraine,74,169,51
Wendy Costanza,Italy,81,476,391
Helen Young,Canada,40,252,28
Victor Young,South Africa,51,132,199
Rachel Walker,Poland,18,54,342
George Walker,Russia,47,260,188
Wendy Hall,Israel,29,282,482
Julia Gallagher,India,36,487,207
Xavier Anderson,Poland,74,24,34
Paula Wright,Arizona,47,118,431
Paula Hall,France,24,25,217
Laura Costanza,Austria,21,178,151
Zachary Young,India,26,95,243
Steve Keller,Russia,20,274,80
Mike Gallagher,China,75,161,215
Yvonne Young,USA,71,356,12
Julia Prince,Namibia,71,316,421
Mike Williams,Finland,65,207,443
Diana Davis,Netherlands,32,443,45
Wendy Williams,China,56,258,221
Julia Keller,Finland,46,12,300
Paula Jackson,India,41,354,194
George Prince,Mexico,33,257,323
Steve Martin,China,82,352,207
Diana Hall,China,56,332,203
Rachel Martin,Sweden,48,462,163
Victor Anderson,Denmark,51,342,351
Fiona Gallagher,UK,69,415,424
Yvonne Lewis,Australia,59,397,176
Quentin King,Brazil,22,6,102
Zachary White,Germany,74,189,208
Ursula Keller,Mexico,53,316,50
Xavier Brown,Namibia,82,179,432
Helen Thomas,Brazil,26,458,312
Yvonne Gallagher,Arizona,36,480,232
Zachary Thompson,Namibia,42,148,25
Paula Lewis,Switzerland,33,482,491
Quentin Davis,Russia,65,340,243
Charlie Moore,Arizona,28,62,4
Helen Thomas,France,38,28,494
Paula Keller,South Africa,24,256,160
Kevin Thompson,Mexico,29,243,321
Tina Davis,Namibia,50,328,271
Bob Williams,Germany,19,385,8
Charlie Keller,Brazil,23,427,430
Victor Walker,Spain,31,142,423
Rachel Lewis,UK,48,469,5
Charlie Davis,Brazil,36,56,182
Victor Walker,Japan,35,239,394
Paula Hunt,South Africa,52,128,331
Oscar Allen,Belgium,52,166,194
Charlie Clark,Israel,70,288,294
Diana White,Switzerland,42,467,204
Kevin Lee,Arizona,55,250,453
Alice Walker,China,53,264,237
Xavier Allen,Italy,39,358,345
Tina King,USA,81,404,115
Helen Clark,Canada,64,178,217
Diana Lewis,China,84,326,412
Yvonne Lewis,Denmark,85,455,37
Ethan Harris,Austria,68,350,316
Steve Prince,Denmark,36,374,368
Oscar Thompson,UK,80,416,325
Nina Allen,Denmark,61,234,472
Zachary Thomas,South Africa,63,431,306
Oscar Thompson,Poland,75,252,223
Paula Costanza,Namibia,18,21,463
Oscar Jackson,France,68,269,69
George Walker,Brazil,76,121,429
Helen Lewis,Brazil,51,240,396
Julia Allen,Russia,38,223,256
Rachel Clark,Austria,59,230,27
Oscar Keller,Finland,49,431,207
Bob Young,Finland,35,42,499
Oscar Costanza,Canada,24,128,112
Bob Walker,Ukraine,81,409,225
Victor Rodriguez,Spain,81,269,455
Bob Gallagher,Spain,60,171,398
Yvonne Moore,Austria,43,29,263
Quentin Rodriguez,Sweden,79,417,351
Alice Thompson,Japan,17,214,66
George Hall,Russia,60,380,145
Helen King,Israel,53,320,41
Steve Moore,Israel,74,2,327
Rachel Thomas,Austria,78,64,58
Wendy Thompson,Spain,53,313,271
Ursula Jackson,Denmark,46,132,104
Nina White,Germany,48,54,214
Ethan Walker,Austria,74,92,137
Bob Clark,Denmark,36,287,341
Paula Brown,Russia,47,74,434
Diana White,Austria,70,230,32
Charlie Hall,Japan,81,239,61
Oscar Prince,USA,50,403,171
Wendy Lee,Spain,21,244,415
Charlie Clark,UK,35,89,41
Helen Prince,Austria,20,161,18
George Thomas,Denmark,29,445,473
Ursula Davis,China,46,152,47
Paula Allen,Mexico,27,143,209
Laura White,Israel,57,44,413
Fiona Keller,Sweden,59,187,301
Charlie Martin,Israel,27,179,336
Nina Harris,Switzerland,19,354,101
Mike Costanza,India,81,211,367
Julia Clark,Austria,58,10,28
Oscar Thomas,Mexico,42,167,92
Zachary Jackson,USA,24,291,45
Nina White,India,66,133,237
Bob Wright,Austria,71,315,219
Zachary Walker,China,78,260,321
Diana Costanza,Mexico,24,159,408
Kevin Hunt,South Africa,51,281,480
Nina Anderson,Japan,56,111,178
Bob Lewis,UK,49,101,494
Laura Young,Japan,82,142,21
Mike Costanza,Australia,48,327,375
Mike White,China,42,75,470
Oscar Davis,Germany,20,154,317
Ursula Lewis,China,38,220,393
Yvonne Anderson,Brazil,82,136,388
Paula Allen,UK,28,295,411
Fiona Walker,UK,62,25,477
Tina Prince,Denmark,43,123,291
Victor Young,Australia,47,419,487
Zachary Harris,Canada,56,299,113
Ethan Rodriguez,South Africa,62,251,383
Zachary Prince,Italy,37,363,151
Steve Young,China,33,262,394
Xavier King,Sweden,16,453,14
Nina Gallagher,Brazil,84,58,263
George Walker,Spain,50,187,60
Nina Moore,Russia,79,231,205
Diana Hall,South Africa,17,252,318
Zachary Davis,China,76,73,314
Ethan Keller,India,57,290,63
Helen Young,Sweden,62,106,43
Laura Keller,Norway,71,86,365
Yvonne Rodriguez,Puerto Rico,33,368,160
Laura Allen,UK,50,368,476
Wendy Williams,Mexico,29,137,407
Oscar Hall,India,27,388,427
Nina Rodriguez,Spain,84,342,313
Rachel Gallagher,Japan,84,334,66
Julia Thomas,Denmark,36,417,470
Diana Harris,Switzerland,64,67,307
Paula Williams,Sweden,82,221,437
Ursula Thomas,Arizona,45,73,498
Wendy Gallagher,Sweden,33,491,71
Ian Gallagher,South Africa,41,232,446
Rachel Young,Sweden,66,263,383
Charlie Gallagher,Ukraine,48,54,151
Kevin Hunt,Argentina,78,482,417
Rachel Anderson,China,60,313,4
Ian Anderson,Puerto Rico,52,357,47
Oscar Martin,Israel,43,140,138
Charlie Williams,Norway,74,301,154
Victor Young,France,65,354,165
Fiona King,Norway,43,91,297
Helen Walker,Canada,50,154,428
Ian Hall,India,51,373,192
Diana Lewis,Finland,56,471,3
Yvonne Rodriguez,Arizona,77,163,473
Zachary Anderson,India,33,368,279
Zachary Prince,Poland,73,15,467
Nina Martin,Netherlands,60,406,366
Bob Prince,South Africa,38,96,14
Julia Costanza,Arizona,72,64,133
Tina Thomas,China,37,145,266
Ian Lewis,Canada,70,60,179
Fiona Clark,Brazil,16,166,385
Nina Rodriguez,Canada,22,441,287
Alice Clark,Netherlands,18,371,243
Ursula Clark,USA,80,264,460
Fiona Gallagher,France,32,183,91
Ursula Prince,USA,51,393,74
George Walker,Norway,49,252,290
Charlie Costanza,Germany,36,251,444
Yvonne Lewis,Canada,17,86,162
Charlie Williams,USA,37,87,246
Tina Rodriguez,Canada,62,429,238
Steve Wright,Namibia,83,127,171
Zachary Lee,Mexico,43,87,221
Zachary Brown,India,38,431,88
Julia Brown,USA,75,243,329
Alice Williams,India,77,396,274
Diana Moore,China,60,26,459
Mike Rodriguez,Poland,34,151,196
Bob Clark,Namibia,63,421,295
Fiona Hall,Germany,85,168,60
Laura Davis,Netherlands,33,331,441
Quentin Martin,Denmark,21,12,494
Steve Lewis,Puerto Rico,53,296,144
Diana Prince,Arizona,30,192,299
Alice Keller,Austria,53,427,472
Quentin Young,India,47,242,65
Wendy White,UK,29,75,162
Tina Lewis,South Africa,80,143,267
Wendy Costanza,South Africa,45,358,70
Steve Hall,Arizona,85,472,339
Nina Walker,India,25,172,160
Victor Gallagher,Ukraine,57,412,249
Charlie Wright,Israel,72,344,446
Ursula Moore,Germany,21,240,46
Tina Wright,Russia,22,119,188
George Keller,Austria,44,463,179
Tina Hunt,Italy,76,92,104
Ian Williams,Ukraine,27,191,165
Rachel Young,South Africa,69,127,419
Diana Hall,South Africa,44,278,239
Alice Harris,Italy,24,176,156
Ethan Prince,Italy,82,390,257
Tina Wright,Ukraine,48,306,364
Diana Lee,Australia,65,167,344
Steve Jackson,Italy,76,106,120
Mike Walker,Denmark,70,157,281
Diana Anderson,India,27,112,404
Oscar Anderson,UK,16,359,48
Steve Rodriguez,Germany,30,423,56
Bob Martin,Brazil,37,93,141
Ian Keller,Spain,65,178,396
Ian Lewis,Poland,26,342,264
Tina Walker,Namibia,31,329,297
Paula Clark,Ukraine,57,34,231
Tina Prince,Norway,52,447,123
Mike Lewis,France,43,139,188
Tina Allen,Mexico,84,490,305
George Williams,South Korea,50,26,269
Alice Lee,Japan,20,490,3
Nina Lewis,Poland,67,314,277
Charlie Lee,Sweden,40,479,498
George Davis,Austria,76,302,492
Yvonne Gallagher,Denmark,65,148,9
Yvonne Allen,Brazil,22,229,178
Bob Jackson,UK,71,143,11
Quentin Prince,Germany,64,230,57
Alice Lewis,China,72,320,193
Laura Prince,UK,57,310,84
Bob Rodriguez,Denmark,58,111,371
Paula Thomas,South Africa,61,354,183
Wendy Rodriguez,Switzerland,40,44,269
Laura Young,South Africa,65,376,368
Kevin Anderson,Brazil,48,471,237
Quentin Prince,Australia,68,265,281
Quentin Young,Italy,16,241,322
Zachary Walker,Denmark,46,91,31
Charlie Lee,Puerto Rico,21,322,418
George Williams,India,83,62,238
Xavier Martin,Canada,47,494,368
Fiona Jackson,Ukraine,83,279,59
Charlie Walker,Italy,37,378,226
Oscar Martin,China,62,436,49
Rachel Williams,Arizona,80,441,137
Julia Hunt,Mexico,65,240,223
Zachary Allen,UK,23,131,446
Victor Hunt,Norway,72,452,211
Kevin Moore,Russia,39,174,132
Julia White,Israel,72,291,341
Zachary White,Russia,66,33,131
Steve Lee,UK,24,425,338
Wendy Anderson,UK,18,172,156
Ursula Thomas,Israel,70,88,333
Xavier White,Australia,30,216,179
Helen Rodriguez,Puerto Rico,43,407,299
Zachary Hall,Germany,74,462,207
Mike Young,Austria,78,183,360
Ethan Anderson,Israel,39,8,496
Helen Prince,Poland,77,302,304
Paula Williams,Austria,60,402,286
Charlie Prince,Canada,51,189,388
Alice Wright,China,72,282,120
Nina Keller,Poland,21,346,409
Tina Martin,Namibia,22,448,53
Steve Hunt,Australia,74,62,392
Yvonne Martin,Belgium,37,106,439
Tina Walker,India,61,93,463
Nina Williams,Russia,75,323,491
Oscar Gallagher,Belgium,59,172,259
Charlie Costanza,Canada,71,51,98
Kevin Walker,Mexico,33,423,232
Bob Davis,Canada,43,104,331
Yvonne Hunt,Germany,22,86,167
Victor Keller,France,51,425,446
Xavier Harris,China,55,9,400
Oscar Prince,Finland,44,120,58
Yvonne Davis,Ukraine,67,152,357
Quentin Keller,Poland,69,91,487
Xavier Rodriguez,Puerto Rico,59,99,352
Diana King,Namibia,49,278,479
Helen Keller,Denmark,52,289,78
Diana White,Australia,69,130,187
Quentin Thompson,Japan,64,197,100
Ursula Lee,Sweden,22,107,68
Fiona Prince,South Africa,81,24,239
Bob Prince,Namibia,35,446,43
Wendy Jackson,Ukraine,78,135,497
Zachary Hall,Russia,33,486,413
Yvonne White,China,38,54,279
Rachel Costanza,Switzerland,53,8,438
Ursula Davis,China,25,304,462
Julia Anderson,Ukraine,62,452,243
Nina Young,Denmark,64,78,177
George Martin,Arizona,29,53,249
Diana Young,Canada,21,117,157
Laura Allen,China,50,63,324
Oscar Jackson,Denmark,60,442,415
Tina Young,Netherlands,42,3,25
Ethan Gallagher,South Korea,38,67,119
Oscar Davis,Austria,65,160,117
George Hall,Switzerland,61,470,44
Zachary Lee,Arizona,36,470,34
Charlie Davis,Poland,33,491,315
Fiona Thompson,USA,43,372,29
Nina Wright,China,70,323,132
Ethan Brown,Italy,27,256,472
Yvonne Allen,Brazil,25,21,40
Alice Lee,Italy,19,490,349
Yvonne Anderson,Austria,20,25,421
Kevin Gallagher,France,55,300,175
Mike Martin,Austria,60,46,11
George Rodriguez,Norway,42,242,352
Ursula Gallagher,Canada,74,396,362
Yvonne Clark,India,39,378,308
Bob Gallagher,Ukraine,43,93,158
Ian Clark,UK,78,396,210
Tina Young,South Africa,61,237,243
Zachary Harris,Poland,55,110,293
Laura Lee,Spain,28,132,217
Helen King,Japan,37,448,336
Yvonne Thomas,Ukraine,46,133,233
Ian Lewis,Japan,25,208,18
Xavier Clark,Mexico,75,279,349
Diana Rodriguez,Spain,34,84,110
Ursula Allen,South Africa,50,325,294
Zachary Thomas,South Africa,74,404,412
Victor Wright,Israel,84,156,269
Laura Wright,Austria,55,155,497
Kevin Davis,Mexico,38,61,323
Laura Thompson,Canada,27,132,68
Mike Allen,Germany,77,33,113
George Wright,Russia,50,120,463
Rachel Hunt,Arizona,67,403,145
Victor Harris,Italy,32,109,376
Tina White,Poland,49,188,379
Ursula Hunt,Ukraine,30,429,107
Oscar Gallagher,USA,68,407,240
Oscar Walker,Sweden,23,484,318
Victor Thompson,UK,46,437,314
Tina Young,Sweden,48,205,287
Mike Gallagher,Germany,77,176,496
George Lewis,Italy,27,390,338
Zachary Walker,Switzerland,36,265,479
Victor Lewis,Russia,81,431,370
George Young,Poland,17,227,121
Tina Clark,Israel,84,327,481
Kevin Jackson,USA,62,19,201
Quentin Prince,Norway,28,351,45
Ian Martin,Canada,74,497,258
Kevin Harris,Belgium,36,37,241
Wendy King,Austria,36,346,237
Wendy Gallagher,Israel,45,419,259
Diana Thomas,South Africa,62,210,445
Laura Davis,South Africa,73,176,105
Ursula Brown,Japan,53,133,198
Xavier Costanza,Brazil,85,134,165
Kevin Thomas,Ukraine,16,46,65
Ursula Hunt,Canada,25,465,316
Victor Wright,Argentina,80,153,287
Diana Costanza,Russia,32,498,28
Laura Lee,Brazil,23,284,294
Quentin Lee,India,19,290,360
Ethan Walker,Netherlands,35,365,21
Fiona Allen,Israel,24,415,256
Nina Martin,Arizona,21,420,409
Victor Harris,Argentina,41,357,281
Fiona Rodriguez,Spain,64,363,210
Oscar Thomas,Germany,18,342,4
Tina Hall,China,78,114,168
Wendy Thomas,Belgium,39,188,341
Tina White,UK,30,73,47
George White,Ukraine,40,27,61
Fiona Jackson,India,48,351,102
Nina Young,Mexico,65,220,298
Helen Thompson,Germany,70,244,325
Kevin Martin,Israel,53,12,108
Ursula Davis,South Africa,81,90,94
Diana Davis,Mexico,58,488,490
Yvonne Allen,India,39,10,456
Laura White,Poland,45,84,52
Mike Wright,Poland,61,163,1
Ethan Harris,South Korea,63,8,181
Quentin Costanza,Austria,22,237,82
Ethan Rodriguez,Namibia,52,401,297
Steve Costanza,Australia,84,325,496
Rachel Young,Belgium,65,259,297
Quentin Williams,China,19,205,324
Victor Jackson,Netherlands,83,177,146
Julia Young,Switzerland,20,161,90
Victor Costanza,South Africa,29,486,131
Yvonne Prince,South Africa,45,335,228
Bob Thompson,Spain,79,468,134
Wendy Hunt,UK,21,448,338
Ursula White,Germany,39,333,318
Julia Wright,USA,72,292,315
Helen Lee,Arizona,76,376,288
Quentin Davis,Germany,49,261,190
Steve Prince,Norway,19,380,184
Ian Gallagher,South Korea,73,268,145
Ursula Brown,Israel,29,394,158
Paula Prince,Mexico,16,349,263
Yvonne Wright,Argentina,75,250,418
Steve King,Norway,25,166,358
Mike Lee,Spain,33,303,59
Ursula Costanza,Puerto Rico,20,322,33
Mike Rodriguez,Argentina,52,346,8
Julia Allen,China,67,354,121
Helen Williams,Israel,76,397,329
Tina Prince,Israel,29,463,161
Ursula Wright,Netherlands,80,155,71
Oscar Harris,India,74,143,53
Nina Jackson,Brazil,72,144,470
Nina Young,Denmark,72,285,176
Nina Costanza,Arizona,28,194,152
Helen Harris,Japan,30,49,491
Mike Wright,Argentina,63,301,416
Laura Hunt,Israel,25,464,254
Diana Martin,Argentina,79,155,252
Rachel Gallagher,Poland,68,327,127
Ian Young,Sweden,38,167,45
Bob Prince,Russia,19,85,337
Zachary Rodriguez,Argentina,41,356,61
Zachary Anderson,Japan,50,40,28
Charlie Davis,Canada,21,413,42
Ursula Thompson,Israel,75,133,359
Rachel Davis,Poland,76,292,224
Diana Lewis,South Africa,32,97,399
Quentin Brown,Netherlands,24,89,132
Kevin Wright,Australia,49,439,400
Paula Young,USA,81,496,13
Xavier Moore,France,39,237,265
Ursula Wright,Finland,73,138,375
George Martin,South Korea,36,169,141
Fiona Hall,Israel,75,32,486
Fiona Harris,China,56,422,406
Victor Thomas,Austria,67,224,311
Ursula Hunt,USA,77,397,358
Fiona Lewis,Puerto Rico,35,68,402
Yvonne King,Brazil,30,369,478
Quentin Walker,Arizona,19,261,451
Nina Allen,Brazil,42,424,499
Julia King,South Africa,60,119,299
Oscar White,France,38,292,458
Ursula Williams,Switzerland,81,369,165
Mike Allen,Namibia,21,490,71
Rachel Thomas,South Africa,16,478,473
Ethan Thompson,Argentina,41,215,355
Ethan Hall,Denmark,51,317,460
Julia Prince,South Korea,74,307,29
Ian Thomas,Puerto Rico,57,42,178
Helen Moore,Spain,67,458,327
Bob King,South Africa,18,459,277
Yvonne Wright,Canada,47,350,265
Ethan Williams,UK,17,350,326
Fiona Lee,China,84,5,216
Ursula Moore,Canada,50,217,161
Ursula Jackson,Switzerland,16,313,76
Ethan Gallagher,Spain,31,66,264
Rachel Prince,Austria,18,105,407
Kevin Rodriguez,Sweden,38,368,459
Ethan Keller,Spain,79,74,116
Julia Anderson,Canada,50,37,461
Yvonne Harris,Germany,82,110,285
Quentin Walker,Russia,48,388,279
Steve Walker,South Africa,85,481,343
Fiona Hall,Spain,43,352,490
George Hunt,Netherlands,80,481,373
Julia Martin,Austria,31,309,299
Steve Thompson,Russia,21,261,363
Diana King,Namibia,67,101,76
Diana Keller,India,73,480,386
Wendy Jackson,Netherlands,26,399,134
Laura Hall,Norway,54,132,229
Ethan Hunt,China,19,366,27
Ian Clark,India,49,396,131
Fiona Gallagher,Ukraine,73,103,17
George Moore,Mexico,81,441,413
Laura Walker,Germany,83,109,402
Oscar Anderson,India,34,376,26
Yvonne Brown,Austria,16,426,332
Zachary Rodriguez,Brazil,16,328,487
Oscar Moore,Brazil,71,383,341
Mike Moore,Finland,80,183,298
Quentin Thompson,India,27,373,376
Xavier Jackson,Puerto Rico,45,116,120
Kevin Keller,Namibia,43,256,393
Steve Brown,Netherlands,47,274,371
Xavier Lewis,South Korea,23,168,224
Tina Young,South Korea,74,195,391
Diana Lee,Spain,75,481,379
Quentin Prince,Australia,21,237,311
Ursula Harris,Australia,51,277,19
Steve Wright,Norway,36,82,135
Victor Hunt,Puerto Rico,57,219,60
Oscar Allen,Brazil,73,78,28
Charlie Moore,UK,24,58,229
Kevin Walker,Ukraine,58,356,201
Oscar Thompson,South Korea,77,127,189
Diana Brown,Belgium,74,367,156
Julia Anderson,Namibia,21,403,364
Paula Prince,Austria,78,322,252
Quentin Young,Namibia,22,121,10
Zachary Gallagher,South Korea,33,113,346
Victor Young,USA,17,287,110
Helen Thomas,Italy,84,246,413
Diana King,Poland,56,405,351
Bob Wright,Switzerland,40,29,398
Helen Clark,USA,40,385,190
Ian Costanza,China,47,226,377
Helen Prince,Australia,63,408,356
Bob Wright,South Africa,81,321,440
Xavier Rodriguez,China,85,256,360
Laura Lewis,Puerto Rico,45,71,356
Fiona Walker,Canada,77,269,20
Tina Lewis,Australia,82,121,452
Zachary Allen,Austria,42,448,296
Diana Walker,France,69,92,16
Ian Martin,Puerto Rico,69,467,101
Alice King,India,85,33,437
Mike Lewis,Japan,48,280,202
Paula Brown,Puerto Rico,64,358,314
Rachel Young,Belgium,48,140,423
Ian Lewis,Japan,31,280,180
Charlie Brown,China,59,135,343
Fiona Thompson,Netherlands,57,172,455
Oscar Keller,USA,29,259,383
Alice Clark,India,33,173,258
Julia Gallagher,India,18,68,83
Ursula Young,China,39,249,354
Laura Gallagher,Italy,60,432,488
Fiona Moore,Australia,46,36,444
Diana Allen,South Africa,44,148,35
Xavier Harris,Denmark,45,278,82
Nina Thompson,Arizona,62,407,299
Oscar Hunt,Puerto Rico,72,239,57
Ursula Lewis,Namibia,51,209,14
Laura Costanza,Israel,66,471,375
Kevin Walker,Arizona,52,460,389
Yvonne Brown,Denmark,84,119,133
Wendy Walker,South Africa,80,251,49
Nina Allen,South Korea,67,404,82
Tina Hunt,Russia,79,246,385
George Harris,UK,57,124,388
Tina Williams,Japan,26,401,7
Bob Brown,China,76,277,122
Diana Clark,Spain,68,105,245
Ursula Anderson,Japan,85,249,348
Xavier Brown,Sweden,39,96,163
Alice Young,Namibia,27,320,102
Helen Lee,Australia,36,244,499
Ian Walker,South Korea,63,136,338
Wendy White,South Korea,52,468,247
Fiona Thompson,Argentina,79,364,308
Fiona Thomas,South Korea,72,419,347
Xavier Hall,Puerto Rico,25,234,160
Bob Martin,Austria,65,231,292
Yvonne Lewis,Mexico,32,445,3
Victor King,Denmark,31,112,242
Nina Lee,Spain,40,232,193
Charlie Rodriguez,Canada,56,369,310
George Williams,India,82,441,395
Paula Lewis,UK,24,91,257
Charlie Gallagher,Russia,36,460,208
George Jackson,Italy,62,223,245
Charlie Brown,Netherlands,65,88,88
Wendy Jackson,China,41,99,163
Nina Hunt,Namibia,52,149,118
Paula Hall,Netherlands,85,95,453
Quentin Anderson,UK,28,444,86
Laura Allen,Canada,23,23,136
Helen Gallagher,France,24,277,81
Quentin King,Italy,35,150,247
Tina Harris,Belgium,71,467,409
Victor Thompson,Namibia,42,14,99
Diana Moore,Spain,50,26,315
Tina Costanza,China,60,42,110
Paula Martin,Mexico,83,58,156
Xavier Walker,China,64,254,289
Tina Prince,South Korea,57,35,320
Ethan Williams,Namibia,50,319,384
Nina White,Brazil,81,173,47
Steve Anderson,France,63,480,207
Rachel Thomas,Norway,43,356,130
Alice Prince,Germany,75,187,443
Fiona Rodriguez,Arizona,76,85,72
Kevin Moore,Poland,22,66,466
Fiona Jackson,Brazil,31,339,81
Yvonne Gallagher,China,37,191,138
Julia Hall,Finland,56,321,7
Helen Hall,USA,73,296,163
Rachel Hunt,Ukraine,48,401,220
Paula Thompson,Australia,46,317,193
Oscar Hall,India,82,98,289
Bob Thompson,Poland,26,209,104
Rachel Williams,Austria,70,93,208
Yvonne Moore,Israel,17,312,356
Steve Brown,Puerto Rico,42,239,369
Ethan Gallagher,Italy,79,200,141
Rachel Williams,Sweden,67,36,147
Ursula Hall,Norway,54,129,13
Victor Allen,Netherlands,26,468,484
Tina White,Denmark,58,10,341
Kevin Young,Argentina,51,287,154
Charlie Walker,South Africa,38,414,65
Rachel Keller,Poland,67,18,364
Ethan Hunt,India,61,463,33
Charlie Hall,India,54,450,481
Quentin Walker,Austria,40,213,319
Helen Rodriguez,France,60,276,130
Mike Brown,China,16,339,485
Zachary Anderson,India,59,344,358
Diana Moore,Finland,40,42,225
Fiona Martin,Japan,20,278,345
Ian Jackson,Austria,41,474,331
Charlie King,Mexico,73,350,303
Mike Prince,Netherlands,69,172,26
Quentin Rodriguez,India,62,172,259
Kevin Costanza,China,77,276,478
Quentin Davis,South Africa,69,264,326
Alice Lee,Austria,58,40,54
Steve Rodriguez,Namibia,73,147,330
Julia Allen,China,40,406,93
Charlie Moore,Arizona,81,392,166
Julia Jackson,Puerto Rico,52,459,245
Victor Thompson,UK,66,21,267
Yvonne Walker,Ukraine,59,283,370
Quentin Hall,Switzerland,55,277,406
Laura Martin,South Korea,45,476,86
Oscar Allen,Finland,55,43,499
Charlie Young,Poland,70,187,77
Paula Thompson,Germany,26,477,329
Laura Harris,Spain,65,206,455
Yvonne Lee,Russia,85,30,421
Laura Hunt,Arizona,35,14,24
Rachel Jackson,Mexico,66,122,419
Diana Martin,South Africa,68,21,205
Victor Harris,Israel,41,442,83
Helen Moore,Ukraine,58,356,421
Rachel Costanza,Namibia,82,104,372
Zachary Keller,India,27,135,298
Helen Walker,Australia,61,436,147
Quentin Jackson,Spain,80,411,480
Ursula Gallagher,USA,66,220,223
Kevin Costanza,Mexico,79,313,230
Wendy King,Russia,20,291,11
Bob Hunt,Russia,16,21,11
George Gallagher,Belgium,67,210,435
Charlie Thompson,USA,81,368,262
Mike Wright,Mexico,55,356,320
Wendy Lewis,Japan,66,499,499
Ethan Moore,India,68,177,2
Ethan Young,South Korea,36,182,32
Yvonne Davis,Australia,33,417,449
Steve Prince,Finland,41,189,104
Oscar Jackson,Spain,77,38,491
Steve Thompson,Austria,66,465,60
Mike Gallagher,South Korea,33,311,386
Zachary Costanza,Sweden,83,13,57
Victor Brown,China,21,60,225
Oscar King,South Korea,55,203,11
Rachel Keller,South Korea,64,136,295
Diana Moore,Poland,17,234,281
Yvonne Costanza,China,32,492,105
Helen Prince,Poland,44,140,307
Paula Harris,Netherlands,29,429,251
Julia Davis,UK,44,232,179
Diana Thomas,China,64,144,288
Xavier Young,Belgium,65,271,351
Steve Rodriguez,Netherlands,40,313,368
Oscar Hall,Switzerland,32,228,271
Mike Brown,Spain,83,149,357
Tina King,Belgium,43,455,185
Laura White,UK,24,73,34
Victor Lee,Russia,49,474,347
Steve Allen,Norway,32,165,98
Kevin Lewis,Finland,46,484,4
Charlie King,Denmark,62,140,292
Xavier Moore,Germany,59,406,494
Tina Thomas,Mexico,62,348,340
Steve Lewis,China,49,161,76
Yvonne Davis,USA,33,20,328
Yvonne Costanza,Namibia,85,342,244
Bob Walker,Arizona,25,127,429
Xavier Walker,South Africa,18,435,148
Ethan Davis,Australia,28,412,450
Bob Brown,South Korea,68,278,249
Tina Moore,Norway,34,42,21
Alice Clark,South Korea,71,161,154
Fiona White,Ukraine,71,482,361
Quentin Harris,Australia,39,85,317
Alice Young,Poland,50,146,413
Diana Thompson,Russia,18,178,494
Mike Moore,Sweden,34,318,111
Wendy Wright,Belgium,20,239,5
Mike Anderson,Argentina,79,73,367
Helen Jackson,Argentina,40,485,288
Ursula Lewis,Ukraine,26,237,449
Laura Walker,Canada,22,156,238
Paula Williams,France,55,267,101
Wendy Williams,Arizona,66,67,237
Helen Gallagher,Finland,59,110,280
Fiona Thompson,Israel,43,286,120
Ethan Allen,Austria,36,444,66
Kevin Brown,South Africa,42,156,272
